fold,auc,rec,pre
0,0.5859226066568792,0.4148936170212766,0.14181818181818182
1,0.7860219080610431,0.8181818181818182,0.20860927152317882
2,0.7758606718681268,0.7127659574468085,0.3116279069767442
3,0.5244033800724301,0.2892561983471074,0.14056224899598393
4,0.7140904208573382,0.6623376623376623,0.1895910780669145
5,0.7531857813547955,0.6190476190476191,0.3333333333333333
6,0.5839135170976604,0.4673913043478261,0.13522012578616352
7,0.6593237497469123,0.5636363636363636,0.2198581560283688
8,0.5064342648612311,0.3162393162393162,0.12052117263843648
9,0.703516560255387,0.7053571428571429,0.22832369942196531
10,0.6991664741926281,0.6123595505617978,0.3811188811188811
11,0.6748361488045787,0.6086956521739131,0.10294117647058823
12,0.6265878812021423,0.49019607843137253,0.19230769230769232
13,0.6584377302873986,0.5590062111801242,0.3103448275862069
14,0.7279155399084987,0.7194244604316546,0.30959752321981426
15,0.6372922557065029,0.5735294117647058,0.23423423423423423
16,0.7821969696969697,0.8666666666666667,0.30548302872062666
17,0.7203071913929785,0.6875,0.2323943661971831
18,0.6130699960535285,0.5337423312883436,0.24857142857142858
19,0.7541695108077362,0.77,0.250814332247557
20,0.6952006562708715,0.6089743589743589,0.3298611111111111
21,0.5057865781126091,0.35051546391752575,0.19428571428571428
22,0.6001374381528312,0.40588235294117647,0.2816326530612245
23,0.5963328369322413,0.35443037974683544,0.2814070351758794
24,0.6815483906811363,0.6810344827586207,0.21066666666666667
25,0.5230427023689708,0.28346456692913385,0.14007782101167315
26,0.6305680836203937,0.5402298850574713,0.14779874213836477
27,0.7103282329713722,0.625,0.10775862068965517
28,0.5961102132988003,0.33183856502242154,0.387434554973822
29,0.4689128019003538,0.22406639004149378,0.18815331010452963
30,0.7811626275165975,0.7319587628865979,0.30472103004291845
31,0.6215578284815106,0.4796747967479675,0.2114695340501792
32,0.527759611010009,0.2229299363057325,0.1891891891891892
33,0.6948509877795489,0.5223880597014925,0.3626943005181347
34,0.552326620107195,0.32061068702290074,0.17142857142857143
35,0.801056085633731,0.8208955223880597,0.3492063492063492
36,0.6771034780645351,0.5533980582524272,0.22440944881889763
37,0.6937059271964932,0.553030303030303,0.31601731601731603
38,0.6692701876188115,0.5495495495495496,0.22761194029850745
39,0.7169186089805645,0.6923076923076923,0.1188118811881188
40,0.5509069938135683,0.36363636363636365,0.26058631921824105
41,0.5060730436720556,0.25663716814159293,0.11068702290076336
42,0.7236141490466406,0.6382978723404256,0.2459016393442623
43,0.713453143865515,0.7207207207207207,0.2191780821917808
44,0.6624277117119042,0.5299539170506913,0.3938356164383562
45,0.5747863247863249,0.43846153846153846,0.17272727272727273
46,0.6866959188889835,0.5950413223140496,0.2508710801393728
47,0.6589188082916703,0.5128205128205128,0.36900369003690037
48,0.6020225294418844,0.3492063492063492,0.34375
49,0.5292078316352784,0.2911392405063291,0.09126984126984126
